#{"t_start": 1519520023.2295725, "env_id": "KangarooNoFrameskip-v0"}
r,l,t
0.0,397,1535.876734
0.0,401,1537.468315
200.0,344,1538.911512
200.0,407,1540.549876
0.0,465,1542.313126
200.0,337,1543.777433
0.0,472,1545.779642
0.0,419,1547.427205
0.0,408,1549.17162
200.0,404,1550.785625
0.0,340,1552.217816
0.0,526,1554.33678
200.0,408,1555.982961
200.0,466,1557.743274
0.0,459,1559.68065
0.0,402,1561.391234
0.0,491,1563.529301
0.0,276,1564.616666
0.0,421,1566.260381
200.0,597,1568.7457
0.0,535,1570.924549
0.0,407,1572.523672
200.0,465,1574.275451
0.0,467,1576.259003
0.0,289,1577.392753
200.0,403,1579.101859
0.0,472,1581.093984
200.0,339,1582.421116
0.0,401,1584.219433
200.0,473,1586.067756
0.0,460,1588.076555
0.0,344,1589.333148
200.0,338,1590.763842
0.0,336,1591.997814
0.0,403,1593.774315
0.0,343,1595.01644
0.0,400,1596.651029
0.0,342,1598.161659
200.0,538,1600.350087
0.0,337,1601.782111
0.0,410,1603.428614
0.0,335,1604.692127
0.0,343,1606.192654
0.0,285,1607.364915
0.0,274,1608.493601
0.0,399,1610.187598
0.0,402,1611.804435
0.0,337,1613.236241
0.0,400,1614.854334
0.0,464,1616.636425
0.0,400,1618.414368
200.0,338,1619.657004
0.0,288,1620.769071
200.0,335,1622.2384
200.0,339,1623.490508
0.0,292,1624.795282
0.0,340,1626.04746
0.0,464,1627.987849
200.0,470,1629.753585
0.0,342,1631.235839
0.0,410,1632.851775
0.0,347,1634.29384
0.0,337,1635.530711
200.0,342,1636.973
0.0,341,1638.485802
200.0,410,1640.246476
0.0,283,1641.353895
0.0,398,1643.024358
0.0,406,1644.641469
200.0,340,1646.099703
0.0,338,1647.331336
0.0,396,1648.959406
0.0,343,1650.403373
0.0,596,1652.705298
0.0,465,1654.69621
0.0,340,1656.164754
200.0,403,1657.764021
0.0,459,1659.562893
0.0,343,1661.009861
200.0,397,1662.601504
0.0,345,1664.065381
200.0,344,1665.36484
0.0,338,1666.820621
200.0,527,1669.060542
0.0,281,1670.174517
200.0,405,1671.79558
0.0,398,1673.374015
